compound,work,book,line_num
αἶθοψ,Iliad,11,775
αἶθοψ,Iliad,14,5
αἶθοψ,Iliad,16,226
αἶθοψ,Iliad,16,230
αἰολοθώρηξ,Iliad,4,489
αἰολοθώρηξ,Iliad,16,173
αἰολομίτρης,Iliad,5,707
αἰολόπωλος,Iliad,3,185
ἀκάκης (*),Iliad,16,185
ἀκήδεστοι,Iliad,6,60
ἀκηδής,Iliad,21,123
ἀκηδής,Iliad,24,526
ἀκηδής (*),Iliad,24,417
ἀκήριος,Iliad,7,100
ἀκήριος,Iliad,11,392
ἀκήριος,Iliad,13,224
ἀκήριος,Iliad,21,466
ἀκλεής,Iliad,7,100
ἀκλεής,Iliad,12,318
ἄκοιτις,Iliad,3,138
ἄκοιτις,Iliad,6,350
ἄκοιτις,Iliad,9,450
ἄκοιτος,Iliad,14,269
ἄκοιτος (*),Iliad,15,91
ἄκοσμος,Iliad,2,213
ἀκριτόμυθος,Iliad,2,246
ἀκριτόφυλλον,Iliad,2,868
ἀκρόκομος,Iliad,4,533
ἀλήϊος,Iliad,9,267
ἀλήϊος ἀ/ἀν,Iliad,9,125
Ἁλίζωνος,Iliad,2,856
Ἁλίζωνος,Iliad,5,39
Ἄλκανδρος,Iliad,5,678
ἄλλοφος,Iliad,10,258
ἀμαχητί,Iliad,21,437
ἄμβροτος,Iliad,5,339
ἄμβροτος,Iliad,5,870
ἄμβροτος,Iliad,16,336
ἄμβροτος,Iliad,16,381
ἄμβροτος,Iliad,16,670
ἄμβροτος,Iliad,16,670
ἄμβροτος,Iliad,16,680
ἄμβροτος,Iliad,16,680
ἄμβροτος,Iliad,16,867
ἄμβροτος,Iliad,17,202
ἄμβροτος,Iliad,20,358
ἄμβροτος,Iliad,22,9
ἄμβροτος,Iliad,22,279
ἄμβροτος,Iliad,24,460
ἄμβροτος (*),Iliad,5,777
ἄμβροτος (*),Iliad,5,338
ἄμβροτος (*),Iliad,5,369
ἄμβροτος (*),Iliad,8,434
ἄμβροτος (*),Iliad,10,41
ἄμβροτος (*),Iliad,10,142
ἄμβροτος (*),Iliad,13,35
ἄμβροτος (*),Iliad,19,38
ἄμβροτος (*),Iliad,18,268
ἀμείλιχος,Iliad,24,734
ἀμενηνός,Iliad,5,887
ἀμετροεπής,Iliad,2,212
ἀμήχανος,Iliad,8,130
ἀμήχανος,Iliad,10,167
ἀμήχανος,Iliad,11,310
ἀμήχανος,Iliad,13,726
ἀμήχανος,Iliad,14,262
ἀμήχανος,Iliad,15,14
ἀμήχανος,Iliad,16,29
ἀμήχανος,Iliad,19,273
ἀμιτροχίτωνας,Iliad,16,419
ἀμύμοων,Iliad,16,119
ἀμυμων,Iliad,12,88
ἀμύμων,Iliad,2,674
ἀμύμων,Iliad,2,770
ἀμύμων,Iliad,2,876
ἀμύμων,Iliad,4,89
ἀμύμων,Iliad,4,194
ἀμύμων,Iliad,5,169
ἀμύμων,Iliad,5,247
ἀμύμων,Iliad,6,22
ἀμύμων,Iliad,6,155
ἀμύμων,Iliad,6,216
ἀμύμων,Iliad,6,374
ἀμύμων,Iliad,8,302
ἀμύμων,Iliad,9,128
ἀμύμων,Iliad,9,181
ἀμύμων,Iliad,9,270
ἀμύμων,Iliad,9,698
ἀμύμων,Iliad,10,19
ἀμύμων,Iliad,10,170
ἀμύμων,Iliad,10,323
ἀμύμων,Iliad,11,57
ἀμύμων,Iliad,11,161
ἀμύμων,Iliad,11,420
ἀμύμων,Iliad,11,518
ἀμύμων,Iliad,11,692
ἀμύμων,Iliad,11,835
ἀμύμων,Iliad,13,636
