lemma,inferred,segmentation,member1,member1_category,member1_subcategory,member2,member2_category,member2_subcategory,analysis_count,member_count
αἰνόμορος,0,αἰνό+μορος,αἰνός,a,thematic,μείρομαι,v,thematic,1,2
αἰολοθώρηξ,0,αἰολο+θώρηξ,αἰόλος,a,thematic,θώρηξ,n,C-stem,1,2
αἰολομίτρης,0,αἰολο+μίτρης,αἰόλος,a,thematic,μίτρα,n,-ā/a,1,2
αἰολόπωλος,0,αἰολό+πωλος,αἰόλος,a,thematic,πῶλος,n,thematic,1,2
αἴπολος,0,αἴ+πολος,αἴξ,n,C-stem,πέλω,v,thematic,1,2
ἄϊστος,0,ἄ+ϊστος,ἀ/ἀν,d,,οἶδα,v,athematic,1,2
ἀκάκης,1,ἀ+κάκης,ἀ/ἀν,d,,κακός,a,thematic,1,2
ἀκαλαρρείτης,0,ἀκαλα+ρρείτης,ἀκαλός,a,thematic,ῥέω,v,thematic,1,2
Ἀκάμας ,0,Ἀ+κάμας ,ἀ/ἀν,d,,κάμνω,v,thematic,1,2
ἀκάματος,0,ἀ+κάματος,ἀ/ἀν,d,,κάμνω,v,thematic,1,2
ἀκήδεστοι,0,ἀ+κήδεστοι,ἀ/ἀν,d,,κῆδος,n,s-stem,1,2
ἀκήδεστος,0,ἀ+κήδεστος,ἀ/ἀν,d,,κήδω,v,thematic,1,2
ἀκηδής,0,ἀ+κηδής,ἀ/ἀν,d,,κῆδος,n,s-stem,1,2
ἀκήρατος,0,ἀ+κήρατος,ἀ/ἀν,d,,κηραίνω,v,thematic,1,2
ἀκήριος,0,ἀ+κήριος,ἀ/ἀν,d,,Κῆρες,n,r-stem,1,2
ἄκλαυτος,0,ἄ+κλαυτος,ἀ/ἀν,d,,κλαίω,v,thematic,1,2
ἀκλεής,0,ἀ+κλεής,ἀ/ἀν,d,,κλέος,n,s-stem,2,2
ἀκλεής,0,ἀ+κλεής,ἀ/ἀν,d,,κλέω,v,thematic,2,2
ἀκμής,0,ἀ+κμής,ἀ/ἀν,d,,κάμνω,v,thematic,1,2
ἀκμόθετος,0,ἀκμό+θετος,ἄκμων?,n,n-stem,τίθημι,v,athematic,1,2
ἄκοιτις,0,ἄ+κοιτις,ἀ/ἀν,d,,κοιτίς/κοῖτος,n,thematic,1,2
ἀκόρητος,0,ἀ+κόρητος,ἀ/ἀν,d,,κορέννυμι,v,athematic,1,2
ἄκοσμος,0,ἄ+κοσμος,ἀ/ἀν,d,,κόσμος,n,thematic,1,2
ἀκράαντος,0,ἀ+κράαντος,ἀ/ἀν,d,,κραιαίνω,v,thematic,1,2
ἄκρητος,0,ἄ+κρητος,ἀ/ἀν,d,,κεράννυμι,v,athematic,1,2
ἀκριτόμυθος,0,ἀκριτό+μυθος,ἄκριτος,a,thematic,μῦθος,n,thematic,1,3
ἄκριτος,0,ἄ+κριτος,ἀ/ἀν,d,,κρίνω,v,thematic,1,2
ἀκριτόφυλλον,0,ἀκριτό+φυλλον,ἄκριτος,a,thematic,φύλλον,n,thematic,1,3
ἀκρόκομος,0,ἀκρό+κομος,ἄκρος,n,thematic,κόμη,n,-ā/a,1,2
ἀκροπόλος,0,ἀκρο+πόλος,ἄκρος,a,thematic,πέλω,v,thematic,1,2
ἀκτήμων,0,ἀ+κτήμων,ἀ/ἀν,d,,κτάομαι,v,thematic,1,2
ἀλαόσκοπος,1,ἀλαό+σκοπος,ἀλαός,a,thematic,σκέπτομαι,v,thematic,1,2
Ἀλεγήνωρ,1,Ἀλεγ+ήνωρ,ἀλέγω,v,thematic,ἀνήρ,n,r-stem,1,2
Ἀλέξανδρος,0,Ἀλέξ+ανδρος,ἀλέξω,v,thematic,ἀνήρ,n,r-stem,1,2
ἀλεξίκακος,0,ἀλεξί+κακος,ἀλέξω/ἀλέκω,v,thematic,κακόν,n,thematic,1,2
ἀλήϊος,0,ἀ+λήϊος,ἀ/ἀν,d,,λήϊον,n,thematic,1,2
ἄληκτος,0,ἄ+ληκτος,ἀ/ἀν,d,,λήγω,v,thematic,1,2
Ἁλίαρτος,0,Ἁλί+αρτος,ἅλς,n,l-stem,ἀραρίσκω,v,thematic,1,2
ἀλίαστος,0,ἀ+λίαστος,ἀ/ἀν,d,,λιάζομαι,v,thematic,1,2
Ἁλίζωνος,0,Ἁλί+ζωνος,ἅλς,n,l-stem,ζώνη,n,-ā/a,1,2
ἁλιμυρηέντων,0,ἁλι+μυρηέντων,ἅλς,n,l-stem,μύρομαι,v,thematic,1,2
ἁλίπλοος,0,ἁλί+πλοος,ἅλς,n,l-stem,πλεύω,v,thematic,1,2
Ἀλκάθοος,0,Ἀλκά+θοος,ἀλκή?,n,-ā/a,θέω,v,thematic,1,2
Ἄλκανδρος,0,Ἄλκ+ανδρος,ἀλκή,n,-ā/a,ἀνήρ,n,r-stem,1,2
Ἀλκιμέδων,0,Ἀλκι+μέδων,ἀλκή,n,-ā/a,μέδω,v,thematic,1,2
